Respondent ID,Region,Institution Type,Teaching Level,Kotlin Experience (yrs),Primary Use Case Taught,IDE Used,Biggest Challenge,Resources Used,Satisfaction (1–5),Would Recommend Kotlin,Data Collection Method
EDU-001,North America,University,Undergraduate,3–5 yrs,Android Development,Android Studio,Keeping curriculum up to date with Kotlin releases,"Official docs, JetBrains Academy, Philipp Lackner",5,Yes,Self-reported (survey)
EDU-002,Europe,University,Graduate,5+ yrs,Backend / Ktor,IntelliJ IDEA,Students transitioning from Java mindset,"Kotlin docs, Ktor docs, academic papers",4,Yes,Self-reported (survey)
EDU-003,South Asia,University,Undergraduate,1–2 yrs,Android Development,Android Studio,Lack of localized learning resources,"YouTube (Philipp Lackner, Cheezy Code), Udemy",4,Yes,Self-reported (survey)
EDU-004,North America,Bootcamp,Beginner,2–3 yrs,Android Development,Android Studio,Short course duration vs. depth required,"JetBrains Academy, Google Codelabs",4,Yes,Self-reported (survey)
EDU-005,Europe,Bootcamp,Beginner,1–2 yrs,Android Development,Android Studio,Hiring market still expects Java knowledge,"Udemy, official docs",3,Yes,Self-reported (survey)
EDU-006,East Asia,University,Undergraduate,3–5 yrs,Multiplatform (KMP),IntelliJ IDEA,KMP ecosystem still maturing,"JetBrains blog, GitHub, academic papers",4,Yes,Self-reported (survey)
EDU-007,Latin America,University,Undergraduate,1–2 yrs,Android Development,Android Studio,Limited Kotlin content in Spanish/Portuguese,"YouTube, translated docs",3,Yes,Self-reported (survey)
EDU-008,Africa,University,Undergraduate,<1 yr,Android Development,Android Studio,Inconsistent internet access for students,"Offline docs, downloadable JetBrains courses",3,Yes,Self-reported (survey)
EDU-009,North America,Online Platform,All levels,5+ yrs,Android + General Programming,IntelliJ IDEA,Balancing breadth vs. depth in async format,"Own experience, student feedback, JetBrains docs",5,Yes,Self-reported (interview)
EDU-010,Europe,University,Graduate,3–5 yrs,Functional Programming,IntelliJ IDEA,Convincing faculty to adopt Kotlin over Haskell/Scala,"Academic papers, Kotlin docs, Arrow library docs",4,Yes,Self-reported (survey)
EDU-011,Southeast Asia,University,Undergraduate,2–3 yrs,Android Development,Android Studio,Device fragmentation complicates Android teaching,"Google Codelabs, YouTube, Udemy",4,Yes,Self-reported (survey)
EDU-012,North America,University,Undergraduate,3–5 yrs,Intro Programming (not Android),IntelliJ IDEA,Limited peer-reviewed materials for intro CS in Kotlin,"JetBrains edu toolkit, own materials",4,Yes,Self-reported (interview)
EDU-013,Europe,Online Platform,Intermediate,5+ yrs,Backend / Server-side,IntelliJ IDEA,Backend Kotlin still less known than Spring Boot Java,"Ktor docs, JetBrains blog, own experience",4,Yes,Self-reported (survey)
EDU-014,South Asia,Bootcamp,Beginner,1–2 yrs,Android Development,Android Studio,Students expect Java first; Kotlin-first is a hard sell,"YouTube, Google Codelabs, Udemy",3,Maybe,Self-reported (survey)
EDU-015,Oceania,University,Undergraduate,2–3 yrs,Mobile + Software Engineering,Android Studio,Assessment design for Kotlin-based courses,"Official docs, JetBrains Academy, Stack Overflow",4,Yes,Self-reported (survey)
